timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime
2017-07-07T22:58:13.295,48971.0,started,537.99,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,71,03000400,2017-05-30T10:06:25,2017-07-07T20:19:49,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T22:59:13.295,12517.0,started,539.76,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,71,03000400,2017-05-30T10:06:25,2017-07-07T20:19:49,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:00:13.295,41571.0,started,540.55,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,71,03000400,2017-05-30T10:06:25,2017-07-07T20:19:49,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:01:13.295,5042.0,started,540.55,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,71,03000400,2017-05-30T10:06:25,2017-07-07T20:19:49,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:02:13.295,34080.0,started,537.4,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,71,03000400,2017-05-30T10:06:25,2017-07-07T20:19:49,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:03:13.295,63104.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,71,03000400,2017-05-30T10:06:25,2017-07-07T20:19:49,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:04:13.295,26591.0,started,539.37,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:05:13.295,55614.0,started,539.37,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:06:13.292,19071.0,started,539.37,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:07:13.292,48064.0,started,540.35,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
