devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-23T06:14:40.588,51837.0,0089PS06CT12017-07-23T06:14:38766,7636.0,2017-07-23T06:14:38.547,9.68,inch,90.0,ms,-1.0,inch,FC300008,9.0,inch,5.2,3.0,88.0,degree/10,1404.0,inch3/10,0.0,inch3/10,2797.0,mm/sec,539.17,ft/min,1.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T06:15:01.661,42641.0,0089PS06CT12017-07-23T06:14:59767,7637.0,2017-07-23T06:14:59.624,38.18,inch,353.0,ms,-1.0,inch,FC300008,36.0,inch,15.2,14.0,65.0,degree/10,76608.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,539.17,ft/min,21.5,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:16:36.716,50932.0,0089PS06CT12017-07-23T11:16:34768,7638.0,2017-07-23T11:16:34.662,17.55,inch,164.0,ms,-1.0,inch,FC300008,17.0,inch,8.6,7.4,-24.0,degree/10,10819.0,inch3/10,0.0,inch3/10,2751.0,mm/sec,539.57,ft/min,5.3,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:16:40.205,60232.0,0089PS06CT12017-07-23T11:16:38769,7639.0,2017-07-23T11:16:38.162,58.18,inch,539.0,ms,319.01,inch,FC300008,57.6,inch,16.8,12.4,-11.0,degree/10,119992.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,539.57,ft/min,25.6,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:16:41.407,63442.0,0089PS06CT12017-07-23T11:16:39770,7640.0,2017-07-23T11:16:39.376,18.18,inch,169.0,ms,112.79,inch,FC300008,18.4,inch,8.4,6.0,-32.0,degree/10,9274.0,inch3/10,0.0,inch3/10,2783.0,mm/sec,539.57,ft/min,2.4,LB,0,1,0,0,0,0,0,1,0,0,0
0089PS06CT1,32.0,2017-07-23T11:16:42.484,786.0,0089PS06CT12017-07-23T11:16:40771,7641.0,2017-07-23T11:16:40.445,50.31,inch,467.0,ms,64.88,inch,FC300008,49.4,inch,19.6,15.0,-6.0,degree/10,145236.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,539.57,ft/min,36.6,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:17:02.561,54336.0,0089PS06CT12017-07-23T11:17:00772,7642.0,2017-07-23T11:17:00.525,17.55,inch,162.0,ms,-1.0,inch,FC300008,16.8,inch,20.8,14.8,-885.0,degree/10,51717.0,inch3/10,0.0,inch3/10,2754.0,mm/sec,539.57,ft/min,70.9,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:17:30.867,64265.0,0089PS06CT12017-07-23T11:17:28773,7643.0,2017-07-23T11:17:28.816,37.59,inch,348.0,ms,-1.0,inch,FC300008,36.8,inch,17.2,12.0,-8.0,degree/10,75955.0,inch3/10,0.0,inch3/10,2778.0,mm/sec,539.96,ft/min,61.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:17:33.186,4924.0,0089PS06CT12017-07-23T11:17:31774,7644.0,2017-07-23T11:17:31.135,21.81,inch,202.0,ms,228.62,inch,FC300008,21.8,inch,15.8,12.4,2.0,degree/10,42711.0,inch3/10,0.0,inch3/10,2765.0,mm/sec,539.96,ft/min,33.8,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:17:55.927,18.0,0089PS06CT12017-07-23T11:17:53775,7645.0,2017-07-23T11:17:53.878,7.87,inch,73.0,ms,-1.0,inch,FC300008,7.6,inch,6.6,4.2,-20.0,degree/10,2107.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,539.96,ft/min,1.4,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:18:00.471,12138.0,0089PS06CT12017-07-23T11:17:58776,7646.0,2017-07-23T11:17:58.418,22.4,inch,209.0,ms,466.96,inch,FC300008,21.4,inch,12.8,12.6,-7.0,degree/10,34514.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.96,ft/min,23.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:18:01.760,15573.0,0089PS06CT12017-07-23T11:17:59777,7647.0,2017-07-23T11:17:59.705,22.4,inch,208.0,ms,116.41,inch,FC300008,24.0,inch,11.2,1.2,-23.0,degree/10,3226.0,inch3/10,0.0,inch3/10,2764.0,mm/sec,539.96,ft/min,1.4,LB,0,0,0,0,1,1,0,0,1,0,0
0089PS06CT1,32.0,2017-07-23T11:18:06.065,27063.0,0089PS06CT12017-07-23T11:18:04778,7648.0,2017-07-23T11:18:04.014,22.4,inch,208.0,ms,442.12,inch,FC300008,22.0,inch,13.2,13.4,-19.0,degree/10,38914.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,539.96,ft/min,31.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:18:25.947,14537.0,0089PS06CT12017-07-23T11:18:23779,7649.0,2017-07-23T11:18:23.908,49.72,inch,459.0,ms,-1.0,inch,FC300008,49.2,inch,24.6,8.6,5.0,degree/10,104088.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.96,ft/min,53.5,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T11:18:26.482,15962.0,0089PS06CT12017-07-23T11:18:24780,7650.0,2017-07-23T11:18:24.441,13.3,inch,124.0,ms,44.25,inch,FC300008,12.2,inch,10.0,5.4,-32.0,degree/10,6588.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.96,ft/min,2.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:26:54.750,21765.0,0089PS06CT12017-07-23T12:26:52781,7651.0,2017-07-23T12:26:52.709,13.93,inch,129.0,ms,-1.0,inch,FC300008,13.4,inch,13.4,6.8,861.0,degree/10,12210.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,539.96,ft/min,11.6,LB,0,1,1,0,0,0,0,1,1,0,0
